roi,band,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05,feature_block,method,direction,significance,tbi_median_iqr,control_median_iqr,abs_hedges_g
,beta,small_world_proxy,0.39347826086956517,0.49374999999999997,-0.1002717391304348,0.39999999999999997,0.525,-0.12500000000000006,0.4,0.15000000000000002,-0.5358207920888061,-0.206219806763285,2629.0,0.016832549112499026,92,72,0.02019905893499883,True,Graph metrics,coh,ниже при ЧМТ,*,0.400 [0.400],0.525 [0.150],0.5358207920888061
frontal,alpha,burst_median_duration_sec,0.1613894927536232,0.14737673611111113,0.014012756642512059,0.15233333333333332,0.143625,0.008708333333333318,0.035249999999999976,0.03475,0.44051163339454774,0.23263888888888884,4082.5,0.010726533392151143,92,72,0.026816333480377857,True,Burst,,выше при ЧМТ,*,0.152 [0.035],0.144 [0.035],0.44051163339454774
,,event_mean_line_length,10.966657928470555,13.371672182582456,-2.405014254111901,9.167316818508052,11.542225718912276,-2.3749089004042236,4.8724403480361875,6.178896422364854,-0.2820263468190332,-0.2913131313131313,877.0,0.012621369300022844,45,55,0.027767012460050255,True,Events,,ниже при ЧМТ,*,9.167 [4.872],11.542 [6.179],0.2820263468190332
,beta,avg_shortest_path,1.211352657004831,1.0960648148148147,0.11528784219001631,1.1666666666666665,1.0833333333333333,0.08333333333333326,0.3333333333333335,0.16666666666666674,0.582924015385282,0.19474637681159424,3957.0,0.02428157752268294,92,72,0.02842721270948247,True,Graph metrics,coh,выше при ЧМТ,*,1.167 [0.333],1.083 [0.167],0.582924015385282
temporal,alpha,burst_mean_peak_z,3.186331833278231,3.267888903732908,-0.0815570704546773,3.1790741936384075,3.2563294990663003,-0.07725530542789283,0.27979418937267475,0.269226847992726,-0.38043868115936813,-0.2276570048309179,2558.0,0.012534401647199404,92,72,0.030255452251860628,True,Burst,,ниже при ЧМТ,*,3.179 [0.280],3.256 [0.269],0.38043868115936813
,beta,global_efficiency,0.3413647342995169,0.3185185185185185,0.022846215780998436,0.32499999999999996,0.3125,0.012499999999999956,0.06666666666666665,0.033333333333333326,0.5787109075240453,0.1868961352657006,3931.0,0.030664069825138328,92,72,0.03504465122872952,True,Graph metrics,coh,выше при ЧМТ,*,0.325 [0.067],0.312 [0.033],0.5787109075240453
occipital,alpha,burst_median_duration_sec,0.15790217391304348,0.1469253472222222,0.010976826690821284,0.15125,0.1405,0.010749999999999982,0.03774999999999998,0.033312499999999995,0.36250601761017137,0.2216183574879227,4046.0,0.015077026500903843,92,72,0.035179728502108966,True,Burst,,выше при ЧМТ,*,0.151 [0.038],0.141 [0.033],0.36250601761017137
,theta,clustering,0.06413043478260869,0.08749999999999998,-0.023369565217391294,0.0,0.075,-0.075,0.0,0.15,-0.18457799509153905,-0.21467391304347827,2601.0,0.005495375288081497,92,72,0.03663583525387665,True,Connectivity,wpli,ниже при ЧМТ,*,0 [0],0.075 [0.150],0.18457799509153905
,alpha,avg_shortest_path,1.545289855072464,1.517457561728395,0.027832293344069114,1.5833333333333335,1.5416666666666667,0.04166666666666674,0.16666666666666674,0.16666666666666652,0.19500777645934245,0.19006642512077287,3941.5,0.03463715884279539,92,72,0.03866473545242276,True,Graph metrics,wpli,выше при ЧМТ,*,1.583 [0.167],1.542 [0.167],0.19500777645934245
parietal,beta,burst_mean_duration_sec,0.12177546952454163,0.11419854916999078,0.007576920354550848,0.11558347457066498,0.1103509869737969,0.005232487596868077,0.02051359639629377,0.013792303962487651,0.37083135221748004,0.21376811594202905,4020.0,0.019062349617583185,92,72,0.04169888978846322,True,Burst,,выше при ЧМТ,*,0.116 [0.021],0.110 [0.014],0.37083135221748004
temporal,beta,n_bursts,12.21376811594203,9.77199074074074,2.441777375201289,10.833333333333332,9.25,1.5833333333333321,9.083333333333332,5.03125,0.4648440414297023,0.21391908212560384,4020.5,0.01895086444007135,92,72,0.04169888978846322,True,Burst,,выше при ЧМТ,*,10.833 [9.083],9.250 [5.031],0.4648440414297023
